dataset,scene,image,rotation_matrix,translation_vector
imc2023_haiper,fountain,fountain_image_116.png,0.122655949;0.947713775;-0.294608417;0.122670643;0.280096125;0.952101924;0.984838784;-0.152920769;-0.081901202,0.093771314;-0.803560988;2.062001533
imc2023_haiper,fountain,fountain_image_108.png,0.474305910;0.359108654;-0.803787832;0.288841620;0.799003104;0.527413081;0.831627574;-0.482322521;0.275246369,0.358946647;-0.797557548;1.910906929
imc2023_haiper,fountain,fountain_image_101.png,0.565115476;-0.138485064;-0.813305838;0.506678120;0.836251817;0.209666834;0.651092760;-0.530570246;0.542746195,0.146922468;-0.981392596;2.009002852
imc2023_haiper,fountain,fountain_image_082.png,-0.308320392;-0.794654112;0.522937261;0.948141740;-0.212071327;0.236755133;-0.077238441;0.568815080;0.818830647,0.206413831;-1.174321103;3.667167680
imc2023_haiper,fountain,fountain_image_071.png,-0.569002830;-0.103808175;0.815757098;0.778745467;-0.386707278;0.493976698;0.264180387;0.916341281;0.300877681,-0.015140892;-1.334052012;3.488936597
imc2023_haiper,fountain,fountain_image_025.png,0.475278519;0.225748964;-0.850380935;0.699239746;0.489715547;0.520809428;0.534016953;-0.842149683;0.074898632,-0.275417758;-1.540694743;3.541109724
imc2023_haiper,fountain,fountain_image_000.png,0.049692953;-0.997143795;0.056875843;0.986604582;0.057867358;0.152521366;-0.155376988;0.048534730;0.986662238,-0.172600675;-1.615670962;4.799234632
imc2023_haiper,fountain,fountain_image_007.png,0.225523801;-0.886993172;-0.402966658;0.973066076;0.225359689;0.048532687;0.047764278;-0.403058461;0.913926940,-0.256933267;-1.993508036;3.835671789
imc2023_haiper,fountain,fountain_image_012.png,0.369994639;-0.694320618;-0.617270480;0.922976119;0.350466663;0.159022647;0.105920023;-0.628563439;0.770512136,-0.130013536;-1.584263084;3.385267514
imc2023_haiper,fountain,fountain_image_033.png,0.344097299;0.666126538;-0.661719340;0.607129522;0.379747355;0.697986883;0.716233755;-0.641924748;-0.273755047,0.064574107;-1.459491906;3.722024826
imc2023_haiper,fountain,fountain_image_173.png,-0.055187833;0.992280644;-0.111055965;0.807970647;0.109729186;0.578915312;0.586632539;-0.057780879;-0.807789350,0.051507925;-1.876540146;3.647545265
imc2023_haiper,fountain,fountain_image_056.png,-0.411424547;0.771132390;0.485885459;0.581053233;-0.188809707;0.791661566;0.702215767;0.608034318;-0.370388020,-0.008073833;-1.390579461;3.626344629
imc2023_haiper,fountain,fountain_image_186.png,-0.527723127;0.574343006;0.625810204;0.774720005;0.023339265;0.631873557;0.348306208;0.818281975;-0.457271687,-0.264405717;-1.937592986;3.422259042
imc2023_haiper,fountain,fountain_image_199.png,-0.555684706;-0.282740311;0.781839130;0.820379526;-0.033912745;0.570812893;-0.134877504;0.958596809;0.250799156,-0.151935764;-1.898719814;3.525124489
imc2023_haiper,fountain,fountain_image_230.png,-0.512827407;0.593029741;0.620744534;0.192073233;-0.625476835;0.756231844;0.836729301;0.507044825;0.206856524,-0.272698239;-0.798410964;1.799685027
imc2023_haiper,fountain,fountain_image_214.png,-0.033318019;-0.999396850;0.009790134;0.881561065;-0.024771548;0.471419621;-0.470892767;0.024337369;0.881854690,0.299704150;-1.818609339;3.462734285
imc2023_haiper,fountain,fountain_image_041.png,0.096736136;0.967273749;-0.234571129;0.552589906;0.143822610;0.820950335;0.827820340;-0.209037201;-0.520592867,-0.090315439;-1.445281585;3.754500151
